grid_cons,pv_grid,battery_cons,lost_discharging,pv_battery,lost_charging,pv_cons,battery_usage,consumption_data,normalized_pv,EV_presence,ev_ev,ev_cons
1.5519999999999998,0.0,0.0,0.0,6.941032885435119e-15,3.470516442717563e-16,0.0,6.064848212763543e-14,1.5519999999999998,0.378425635782886,0,0,0
0.912,0.0,0.0,0.0,6.50059319098119e-15,3.250296595490598e-16,0.0,6.732641314301435e-14,0.912,0.354960128994206,0,0,0
0.7440000000000001,1.3588491226781817e-17,0.0,0.0,5.5542507609438284e-15,2.7771253804719166e-16,0.0,7.391417949840374e-14,0.7440000000000001,0.304806632878219,0,0,0
0.664,1.716348413019312e-17,0.0,0.0,4.008417758626083e-15,2.0042088793130432e-16,0.0,7.896088854477689e-14,0.664,0.22037702749839702,0,0,0
1.056,1.4792447130986984e-17,0.0,0.0,1.889309870544776e-15,9.446549352723888e-17,0.0,8.287126662661948e-14,1.056,0.10423846483716302,0,0,0
0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.9279999999999999,0.0,0,0,0
0.736,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.736,0.0,0,0,0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.84,0.0,0,0,0
1.248,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,1.248,0.0,1,12,0
0.9840000000000001,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.9840000000000001,0.0,1,12,0
1.112,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,1.112,0.0,1,12,0
1.24,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,1.24,0.0,1,12,0
1.064,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,1.064,0.0,1,12,0
0.736,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.736,0.0,1,12,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.48,0.0,1,12,0
0.504,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.504,0.0,1,12,0
0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.41600000000000004,0.0,1,12,0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.48,0.0,1,45,0
0.44,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.44,0.0,1,45,0
0.504,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.504,0.0,1,0,0
0.496,0.0,0.0,0.0,0.0,0.0,0.0,8.436703925536775e-14,0.496,0.0,0,0,0
0.44799999999999995,0.0,0.0,0.0,2.003241121995752e-16,1.0016205609978769e-17,0.0,8.436703925536775e-14,0.44799999999999995,0.0108836138613861,0,0,0
0.768,0.0,0.0,0.0,7.1345795610351e-16,3.5672897805175535e-17,0.0,8.452220850836026e-14,0.768,0.0390359035879849,0,0,0
1.536,3.4573099828378894e-18,0.0,0.0,1.0788077965961629e-15,5.3940389829808195e-17,0.0,8.550849787382849e-14,1.536,0.0592476844386857,0,0,0
1.4,5.711228577947882e-18,0.0,0.0,1.3483191043834564e-15,6.741595521917288e-17,0.0,8.630614632080163e-14,1.4,0.0741252410338611,0,0,0
2.0,6.596897528545637e-19,0.0,0.0,1.200987379395824e-15,6.004936896979125e-17,0.0,8.7724154966193e-14,2.0,0.0657831486267136,0,0,0
1.104,0.0,0.0,0.0,9.448708666380872e-16,4.72435433319044e-17,0.0,8.841376942777307e-14,1.104,0.0516586511229803,0,0,0
0.8240000000000001,1.1997105218321324e-18,0.0,0.0,7.637144448024553e-16,3.8185722240122795e-17,0.0,8.91414778761019e-14,0.8240000000000001,0.0418745760367255,0,0,0
1.264,0.0,0.0,0.0,1.3076889507744265e-16,6.538444753872138e-18,0.0,9.047219063306031e-14,1.264,0.00715340292605954,0,0,0
1.1520000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9.058310335376079e-14,1.1520000000000001,0.0,0,0,0
1.848,0.0,0.0,0.0,0.0,0.0,0.0,9.058310335376079e-14,1.848,0.0,0,0,0
