grid_cons,tot_energy_bought,pv_grid,tot_energy_sold,rated_power,battery_capacity,max_power_bought,revenue_from_selling_energy,total_energy_consumed,pv_cons,sum_pv_cons,battery_cons,sum_bat_cons_cons,lost_discharging,pv_battery,lost_charging,battery_usage,consumption_data,normalized_pv
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,2.302123591211077,0.11510617956055395,13.92966716126336,0.88,0.0637988570056617
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47081619679980663,0.0,0.3291838032001934,0.0,0.016459190160009685,0.0,0.0,13.583157894736841,0.8,0.00943946215619753
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.02800000000000003,0.0,0.0,12.993684210526315,0.56,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.04400000000000004,0.0,0.0,12.067368421052631,0.88,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.058000000000000045,0.0,0.0,10.846315789473683,1.16,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.08800000000000008,0.0,0.0,8.993684210526315,1.76,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784,0.0,0.08920000000000008,0.0,0.0,7.1157894736842096,1.784,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.0,0.04840000000000004,0.0,0.0,6.096842105263157,0.968,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.038000000000000034,0.0,0.0,5.296842105263157,0.76,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9279999999999999,0.0,0.04640000000000004,0.0,0.0,4.319999999999999,0.9279999999999999,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.0,0.02960000000000003,0.0,0.0,3.6968421052631575,0.5920000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47200000000000003,0.0,0.023600000000000024,0.0,0.0,3.1999999999999997,0.47200000000000003,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.024800000000000023,0.0,0.0,2.677894736842105,0.496,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.02400000000000002,0.0,0.0,2.1726315789473687,0.48,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.02400000000000002,0.0,0.0,1.6673684210526318,0.48,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.02400000000000002,0.0,0.0,1.162105263157895,0.48,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.02400000000000002,0.0,0.0,0.6568421052631581,0.48,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240000000000002,0.0,0.03120000000000004,0.0,0.0,0.0,0.624,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024,0.0,0.0,0.0,0.0,0.3386807666546041,0.01693403833273022,0.3217467283218739,1.024,0.0273205841584158
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8240000000000001,0.0,0.0,0.0,0.0,6.791490323126647,0.33957451615633266,6.773662535292188,0.8240000000000001,0.15268406905850102
0.0,0.0,12.213530764850075,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,6.773662535292188,0.728,0.259466625677731
0.0,0.0,11.54505790138389,0.0,0.0,0.0,0.0,0.0,0.0,2.2880000000000003,0.0,0.0,0.0,0.0,0.0,0.0,6.773662535292188,2.2880000000000003,0.277340982430399
0.0,0.0,6.42150292259214,0.0,0.0,0.0,0.0,0.0,0.0,1.264,0.0,0.0,0.0,0.0,3.820344787839788,0.19101723939198959,10.402990083739986,1.264,0.23068240807309198
0.0,0.0,9.470790250664276,0.0,0.0,0.0,0.0,0.0,0.0,2.296,0.0,0.0,0.0,0.0,0.0,0.0,10.402990083739986,2.296,0.235914082875717
0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.3119999999999998,0.0,0.0,0.0,0.0,6.2284314908000145,0.311421574540001,16.32,1.3119999999999998,0.15117920365231602
0.0,0.0,0.9767897946998388,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0,0.0,0.0,0.0,0.0,0.0,16.32,0.648,0.0325756460442386
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.0,0.026400000000000024,0.0,0.0,15.76421052631579,0.528,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.050800000000000047,0.0,0.0,14.694736842105263,1.016,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.496,0.0,0.1248000000000001,0.0,0.0,12.067368421052631,2.496,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.912,0.0,0.09560000000000009,0.0,0.0,10.054736842105264,1.912,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168,0.0,0.05840000000000005,0.0,0.0,8.825263157894737,1.168,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168,0.0,0.05840000000000005,0.0,0.0,7.59578947368421,1.168,0.0
