grid_cons,pv_grid,battery_cons,pv_bat_edges,pv_cons,battery_usage
0.0,1.207616608506429,0.0,0.0,0.728,0.0
0.21904099454188986,0.0,0.0,0.0,2.0689590054581104,0.0
0.0,0.4568868354079685,0.0,0.0,1.264,0.0
0.5360849596665811,0.0,0.0,0.0,1.7599150403334187,0.0
0.18420571552947274,0.0,0.0,0.0,1.127794284470527,0.0
0.4049862353150159,0.0,0.0,0.0,0.24301376468498417,0.0
0.528,0.0,0.0,0.0,0.0,0.0
1.016,0.0,0.0,0.0,0.0,0.0
2.496,0.0,0.0,0.0,0.0,0.0
1.912,0.0,0.0,0.0,0.0,0.0
1.168,0.0,0.0,0.0,0.0,0.0
1.168,0.0,0.0,0.0,0.0,0.0
